datetime,sound_avg,motion,temp,hum,dist
2025-11-18T00:43:19.060621,0,0,0.0,0.0,-1
2025-11-18T00:43:21.152144,0,0,0.0,0.0,-1
2025-11-18T00:43:23.167383,87.83333333333333,1,20.9,82.0,-1
2025-11-18T00:43:25.179823,88.0,1,20.9,82.0,-1
2025-11-18T00:43:27.229700,88.25,0,20.9,82.0,-1
2025-11-18T00:43:29.276695,87.875,1,20.9,82.0,-1
2025-11-18T00:43:31.334439,87.8125,1,20.9,82.0,-1
2025-11-18T00:43:33.377610,88.0625,0,20.9,82.0,-1
2025-11-18T00:43:35.432129,88.125,0,20.9,82.0,-1
2025-11-18T00:43:37.434992,87.9375,1,21.0,82.0,-1
2025-11-18T00:43:39.520504,88.52941176470588,0,21.0,82.0,22.0
2025-11-18T00:43:41.527252,87.70588235294117,0,21.0,82.0,13.4
2025-11-18T00:43:43.576204,87.875,0,21.0,82.0,-1
2025-11-18T00:43:45.581858,88.05882352941177,0,21.0,82.0,46.0
2025-11-18T00:43:47.658065,88.4375,1,21.0,82.0,48.0
2025-11-18T00:43:49.669253,87.7,0,21.0,82.0,30.23076923076923
2025-11-18T00:43:51.744478,87.52941176470588,0,21.0,82.0,22.8
2025-11-18T00:43:53.852475,87.78947368421052,0,21.0,82.0,30.333333333333332
2025-11-18T00:43:55.882533,87.38888888888889,1,21.0,82.0,32.5
2025-11-18T00:43:57.909916,88.05555555555556,0,21.0,82.0,29.666666666666668
2025-11-18T00:43:59.992161,87.23809523809524,1,21.0,82.0,27.375
2025-11-18T00:44:02.101395,83.95238095238095,0,21.0,82.0,27.55
2025-11-18T00:44:04.175290,82.78947368421052,0,21.0,82.0,30.444444444444443
2025-11-18T00:44:06.177018,83.16666666666667,0,21.0,82.0,33.833333333333336
2025-11-18T00:44:08.208943,84.0,0,21.0,82.0,0
2025-11-18T00:44:10.213624,83.5,0,21.0,82.0,-1
2025-11-18T00:44:12.248229,83.78947368421052,0,21.0,82.0,0
2025-11-18T00:44:14.317027,83.25,0,21.0,82.0,8.0625
2025-11-18T00:44:16.413127,83.23809523809524,0,21.0,82.0,5.095238095238095
2025-11-18T00:44:18.460483,83.63157894736842,0,21.0,82.0,6.0
2025-11-18T00:44:20.487776,83.77777777777777,1,21.0,82.0,-1
2025-11-18T00:44:22.547266,83.5,0,21.0,82.0,311.0
2025-11-18T00:44:24.556945,83.77777777777777,1,21.1,82.0,152.0
2025-11-18T00:44:26.619274,84.17647058823529,0,21.1,82.0,-1
2025-11-18T00:44:28.627798,84.0,1,21.1,82.0,-1
2025-11-18T00:44:30.651454,83.88235294117646,0,21.1,82.0,0
2025-11-18T00:44:32.741916,83.88888888888889,1,21.1,82.0,0
2025-11-18T00:44:34.820045,84.0,0,21.1,82.0,24.5
2025-11-18T00:44:36.843001,83.5,0,21.1,82.0,37.4
2025-11-18T00:44:38.850761,85.47368421052632,1,21.1,82.0,38.470588235294116
2025-11-18T00:44:40.892177,87.0625,0,21.2,82.0,37.333333333333336
2025-11-18T00:44:42.934033,87.23529411764706,0,21.2,82.0,55.0
2025-11-18T00:44:44.982066,87.4375,0,21.2,82.0,67.0
2025-11-18T00:44:47.068809,87.05555555555556,1,21.2,82.0,51.8
2025-11-18T00:44:49.081070,86.95,0,21.2,82.0,33.833333333333336
2025-11-18T00:44:51.129086,87.5,0,21.2,82.0,33.285714285714285
2025-11-18T00:44:53.144766,86.75,0,21.2,82.0,32.9
2025-11-18T00:44:55.161207,86.9375,1,21.3,82.0,34.2
2025-11-18T00:44:57.262371,86.84210526315789,0,21.3,82.0,38.90909090909091
2025-11-18T00:44:59.331785,86.85,0,21.3,82.0,40.0
2025-11-18T00:45:01.367280,86.55,1,21.3,82.0,37.05555555555556
2025-11-18T00:45:03.410395,86.88235294117646,0,21.3,82.0,26.625
2025-11-18T00:45:05.445930,86.8125,1,21.3,82.0,-1
2025-11-18T00:45:07.470853,86.66666666666667,0,21.3,82.0,12.333333333333334
2025-11-18T00:45:09.516933,86.9375,1,21.3,82.0,-1
2025-11-18T00:45:11.574703,87.125,0,21.3,82.0,-1
2025-11-18T00:45:13.625973,86.9375,0,21.3,82.0,-1
2025-11-18T00:45:15.643092,87.0,1,21.3,82.0,35.0
2025-11-18T00:45:17.677833,87.66666666666667,0,21.4,82.0,-1
2025-11-18T00:45:19.720477,87.0,1,21.4,82.0,-1
2025-11-18T00:45:21.776648,87.0,0,21.4,82.0,-1
2025-11-18T00:45:23.837203,87.5625,1,21.4,82.0,-1
2025-11-18T00:45:25.880640,87.625,0,21.4,82.0,-1
2025-11-18T00:45:27.947173,87.0625,0,21.4,82.0,-1
2025-11-18T00:45:30.002990,87.0625,1,21.4,82.0,-1
2025-11-18T00:45:32.034718,87.6470588235294,0,21.4,82.0,0
2025-11-18T00:45:34.069419,87.13333333333334,1,21.4,82.0,-1
2025-11-18T00:45:36.087648,87.0,0,21.4,82.0,-1
2025-11-18T00:45:38.135377,87.625,0,21.4,82.0,-1
2025-11-18T00:45:40.190255,87.125,1,21.4,82.0,-1
2025-11-18T00:45:42.238650,87.0625,0,21.4,82.0,-1
2025-11-18T00:45:44.245814,87.4375,1,21.4,82.0,-1
2025-11-18T00:45:46.272615,87.1875,0,21.4,82.0,-1
2025-11-18T00:45:48.331511,87.375,0,21.4,82.0,-1
2025-11-18T00:45:50.379933,87.0,1,21.4,82.0,-1
2025-11-18T00:45:52.429575,86.875,0,21.4,82.0,-1
2025-11-18T00:45:54.487948,86.875,1,21.4,82.0,-1
2025-11-18T00:45:56.491383,87.0625,0,21.4,82.0,0
2025-11-18T00:45:58.527105,87.0,1,21.4,82.0,-1
2025-11-18T00:46:00.578922,87.0625,0,21.4,82.0,-1
2025-11-18T00:46:02.616861,87.625,0,21.4,81.0,-1
2025-11-18T00:46:04.620646,86.875,1,21.4,81.0,11.0
2025-11-18T00:46:06.713271,87.58823529411765,0,21.4,81.0,9.0
2025-11-18T00:46:08.729781,88.3125,1,21.4,81.0,0
2025-11-18T00:46:10.773955,87.875,0,21.4,81.0,-1
2025-11-18T00:46:12.835676,87.75,1,21.4,81.0,-1
2025-11-18T00:46:14.882879,87.6875,0,21.4,81.0,-1
2025-11-18T00:46:16.937046,88.25,0,21.4,81.0,-1
2025-11-18T00:46:18.988365,87.75,1,21.4,81.0,-1
2025-11-18T00:46:21.040273,87.8125,0,21.3,81.0,-1
2025-11-18T00:46:23.084744,87.75,1,21.3,81.0,-1
2025-11-18T00:46:25.146598,87.9375,1,21.3,81.0,-1
2025-11-18T00:46:27.171701,88.29411764705883,0,21.3,81.0,-1
2025-11-18T00:46:29.180540,87.46666666666667,1,21.3,81.0,-1
2025-11-18T00:46:31.231198,87.6875,0,21.3,81.0,-1
2025-11-18T00:46:33.297691,88.29411764705883,0,21.3,81.0,-1
2025-11-18T00:46:35.334843,87.93333333333334,1,21.3,81.0,-1
